Med_HHD_Inc_Thousands_ACS__,pct_Renter_Occp_HU_ACS__,pct_Vacant_Units_ACS__,pct_Not_HS_Grad_ACS__,pct_College_ACS__,pct_NH_Blk_alone_ACS__,Pct_No_Health_Ins_CALCULATED_ACS__,Med_HHD_Inc_Thousands_ACS___Neighbor_Avg,pct_Vacant_Units_ACS___Neighbor_Avg,pct_Renter_Occp_HU_ACS___Neighbor_Avg,GIDTR
-3.6312132,0.4737253,0.27662143,-1.2819972,2.1944025,-0.529537,1.0080694,-8.78306,-2.1606197,-0.93012065,53033002400
-0.6546897,-0.32987252,1.023008,-1.0575964,1.7735554,-0.15098228,1.1091858,-9.822586,-1.4569916,-1.555506,53033002500
-0.18817115,-0.51338047,-1.2050468,-1.3196088,1.2100558,-1.6089276,2.3315122,-1.5952191,-2.0406928,1.4540927,53033002600
1.255564,6.2508764,2.5467548,-0.6549183,2.7790966,1.5149355,4.7284584,10.605332,-0.7558877,3.556692,53033002700
-2.135651,-1.4145373,-2.6516345,-2.6688461,-0.8082172,-1.4336698,0.0052508614,5.4765415,-2.770526,-2.546348,53033002800
0.38828957,-0.16464393,0.17879295,-1.1413621,-0.4729982,-1.2322512,0.71261644,-8.604343,-1.8690796,-1.4338645,53033002900
-3.499019,-0.19463369,0.2706316,-1.2077518,-0.7387001,-1.8385749,0.5840644,-6.2547617,-2.6778226,0.043255728,53033003000
-2.289856,-0.36109698,0.6836239,-0.6017753,-0.6093521,-2.2614565,1.0820047,-10.241562,-2.071149,-1.6437945,53033003100
0.9492748,0.26618585,0.83838135,-1.0573491,0.14911315,-2.4757288,0.5299237,-11.592243,-1.500743,-2.3638637,53033003201
-3.3724992,3.4106162,0.1947285,-2.0136168,-0.47535273,-0.905369,0.17816782,-9.709121,-2.9298651,-0.060357276,53033003202
-0.95999384,-0.5104803,1.2753315,0.056677483,-0.7418531,-1.8518848,0.46507788,-11.184355,-2.0584059,0.35938334,53033003301
-3.66118,-2.455951,-1.0428714,-1.2297037,-0.46213427,-2.1555536,1.1972667,-6.2023177,-2.6952357,0.4775321,53033003302
-3.5586212,-1.2061098,-1.0666603,-1.3458637,0.45542815,-1.7013185,1.7168827,-6.061375,-2.7665453,-0.7938279,53033003400
-0.6761036,-0.3382436,-3.3799398,-0.5612215,1.3910676,-2.1251929,0.49172267,-6.493689,-0.54406226,-0.6106154,53033003500
0.91269284,-2.0767276,0.46685764,-0.52284515,1.6572129,-1.9483138,2.5647712,-2.0491376,-1.8926908,-1.5176233,53033003601
3.0212066,5.4716306,-0.8873601,0.5987217,1.2431663,-0.47239253,2.6073494,-11.665489,-1.7302195,-2.0379903,53033003602
0.23067331,0.09968769,-0.46983722,-0.22439106,0.15445466,-0.82328075,1.1929722,-8.79646,-1.5255623,-1.3695953,53033003800
-1.1820016,0.84782344,1.6487871,-0.91702896,2.1209915,-0.73937786,0.42427087,-11.002582,-1.7425293,-1.223383,53033003900
-4.027985,3.4752164,-0.542172,-1.455618,2.2178085,0.19441293,-0.33590585,-9.735704,-1.9063839,-0.5106182,53033004000
-3.275975,-1.9670838,-0.3090766,1.0281487,3.7529368,-1.4270797,0.986271,-9.8960495,-2.088096,-1.3182187,53033004101
-1.6889066,-0.052195102,1.5408149,-0.5841718,1.3138161,-0.8824051,0.7605148,-10.673048,-2.0080552,-1.4255812,53033004102
-1.3510969,0.40725613,0.6467048,-0.7874617,0.84545845,-0.68197834,0.7173844,-9.754552,-1.8636175,-1.527015,53033004201
-1.9592288,1.1565285,-1.7878214,-2.005209,0.13731048,-1.0939422,1.6144612,1.9215769,-0.6330565,-0.6970434,53033004202
2.1613603,-2.4897454,-0.6283111,-2.3294182,1.3960463,-1.4546399,0.90987074,1.2515041,-0.2745952,-2.321564,53033004301
4.5764666,-1.1668254,-1.9494193,-6.0524893,-2.8077204,-2.8402193,-4.249452,-2.04474,-2.3269799,2.9797192,53033004302
-0.059366364,-5.9167757,-0.22306146,-8.641709,-0.55431354,-4.6687346,0.71134603,1.8165137,11.0709,3.3598354,53033004401
2.7178485,2.871026,-4.1032624,-2.5234935,-0.5651141,-2.0699737,-0.20474494,4.807321,-1.6816106,-0.5637747,53033004402
-2.062498,-1.6669548,-2.2614293,-5.0045285,1.4694585,-3.3014677,-0.39972556,9.622962,-1.0843874,2.6150217,53033004500
-1.330136,-1.1142942,-1.401149,-0.870327,0.03485519,-1.8597844,0.50283873,-3.452519,-2.4914098,-0.16285866,53033004600
4.1398187,-0.45441952,-0.35551292,-1.6100876,-1.17841,-3.0337381,0.18500659,-7.1346955,-1.8109882,-1.2384343,53033004701
-1.586402,-3.7557478,-2.7487288,-0.10336131,0.74169636,-2.14047,0.42418522,-3.839386,-2.7045412,0.24859424,53033004702
-3.034282,-0.72988194,-0.23931973,-0.3536159,1.2757968,-2.0525339,0.8847452,-3.607856,-2.587627,-2.0987284,53033004703
-2.5817819,0.059418753,-0.98236763,-1.0009171,1.6170125,-1.8015761,0.9403914,-6.2913847,-1.7837335,1.169755,53033004800
